Title,Price sale,Price origin,url,CPU type,RAM type,Number of RAM slots,Material,Security,Manufacturer,Panel material,Screen size,Screen resolution,Operating system,Brand,Storage,Ram,CPU
Laptop Giagabyte G5 ME-51VN263SH,21213181,21213181,https://cellphones.com.vn/laptop-gigabyte-g5-me-51vn263sh.html,Intel Core i5-12500H,DDR4 3200MHz,"1 khe, tối đa 64GB",,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Giagabyte,512.0,8,i5
Laptop HP 240 G8 518V8PA,21213181,21213181,https://cellphones.com.vn/laptop-hp-240-g8-518v8pa.html,Intel Core i5 1135G7,"DDR4/ 3200MHz, 2 khe cắm",,,,,,14,1920 x 1080 pixels (FullHD),Windows 11,HP,512.0,8,i5
Laptop Dell Inspiron 5310,21213181,21213181,https://cellphones.com.vn/laptop-dell-inspiron-5310.html,"Intel Core i3 1125G4 2.00 GHz (up to 3.7 GHz, 4 nhân/ 8 luồng, 8 MB cache)", LPDDR4X 4267 MHz,1 Thanh RAM,Vỏ kim loại,Bảo mật vân tay,Dell,,13.3,1920 x 1200 pixels (FullHD+),Windows 11,Dell,256.0,8,i3
Laptop Asus Zenbook UX425EA BM069T,21213181,21213181,https://cellphones.com.vn/laptop-asus-zenbook-ux425ea-bm069t.html,Intel Core i5 Tiger Lake - 1135G7,LPDDR4X (On board),,Vỏ kim loại,,ASUS,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,Asus,512.0,8,i5
Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 1TB) | Chính hãng Apple Việt Nam,21213181,21213181,https://cellphones.com.vn/mac-mini-m2-2023-16gb-1tb.html,Apple M2 8 nhân ,16GB,,,,,,14,,Mac,Mac,1024.0,16,M2
Laptop ASUS Gaming ROG Strix G531GT-AL030T,21213181,21213181,https://cellphones.com.vn/laptop-asus-gaming-rog-strix-g531gt-al030t.html,Intel Core i7-9750H 2.6GHz up to 4.5GHz 12MB,DDR4,2 khe (Hỗ trợ tối đa 32GB),Vỏ nhựa,,ASUS,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,ASUS,1024.0,8,i7
Laptop Lenovo Ideapad 3 14ITL6 82H4005QVN,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-ideapad-3-14itl6-i3-82h4005qvn.html,Intel® Core™ i3-1115G4,DDR4 3200 MHz,,Vỏ nhựa,,,Tấm nền TN,14,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,256.0,8,i3
Laptop Lenovo Thinkpad X1 Carbon gen 8,21213181,21213181,https://cellphones.com.vn/laptop-lenovo-thinkpad-x1-carbon-gen-8.html,"Intel Core i7 10610U (4 lõi / 8 luồng, 1.8GHz up to 4.9GHz, 8MB)",LPDDR3 2133MHz,,,,,Tấm nền IPS,14,1920 x 1080 pixels (FullHD),Windows 11,Lenovo,512.0,16,i7
Laptop Gigabyte G5 KE-52VN263SH,21213181,21213181,https://cellphones.com.vn/laptop-gigabyte-g5-ke-52vn263sh.html,Intel® Core™ i5-12500H 2.5GHz up to 4.5GHz 18MB,DDR4 3200MHz,"2 khe, tối đa 64GB",,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Gigabyte,512.0,8,i5
Laptop Gigabyte G5 MD-51S1123SH,21213181,21213181,https://cellphones.com.vn/laptop-gigabyte-g5-md-51s1123sh.html,Intel Core i5 11400H,"16 GB, DDR4, 3200 MHz",,Vỏ nhựa,,,Tấm nền IPS,15.6,1920 x 1080 pixels (FullHD),Windows 11,Gigabyte,512.0,16,i5
