Title,Price sale,CPU,Ram,Storage,Operating system,Brand,Screen size,discount
Laptop Lenovo Ideapad 15IAU7 82RK001NVN,8590000.0,i3,8.0,512.0,Windows 11,lenovo,15.6,5010000.0
Laptop LG Gram 2023 16Z90R-G.AH76A5,32990000.0,i7,16.0,512.0,Windows 11,lg,16.0,14000000.0
iMac M3 24 inch 16GB 512GB | Chính hãng Apple Việt Nam,44490000.0,m3,16.0,512.0,Mac,mac,24.0,2500000.0
Laptop LG Gram 2021 14Z90P-G.AH75A5 14 inch,22990000.0,i7,16.0,512.0,Windows 11,lg,14.0,18310000.0
Laptop Intel NUC M15 BBC510EAUXBC1,16990000.0,i5,16.0,1024.0,Windows 11,intel,15.6,4710000.0
Macbook Pro 14 M3 (8 CPU - 10 GPU - 16GB - 1TB) | Chính hãng Apple Việt Nam,47990000.0,m3,16.0,1024.0,Mac,mac,14.2,0.0
Laptop ASUS Vivobook GO 15 E1504FA-NJ454W,21213181.0,ryzen 5,16.0,512.0,Windows 11,asus,15.6,0.0
Laptop ASUS ROG Strix G16 G614JU-N3777W,21213181.0,i7,16.0,1024.0,Windows 11,asus,16.0,0.0
Laptop MSI Modern 14 C11M-011VN,21213181.0,i3,8.0,512.0,Windows 11,msi,14.0,0.0
Laptop ASUS VivoBook 14X OLED S3405VA-KM071W,21213181.0,i9,16.0,512.0,Windows 11,asus,14.0,0.0
Laptop ASUS VivoBook 14X OLED S3405VA-KM072W,21213181.0,i5,16.0,512.0,Windows 11,asus,14.0,0.0
Laptop Lenovo Ideapad Slim 5 14IRL8 82XD007QVN,21213181.0,i7,16.0,1024.0,Windows 11,lenovo,14.0,0.0
Laptop Lenovo Yoga Duet 7 13ITL6 82MA009PVN,22990000.0,i7,16.0,1024.0,Windows 11,lenovo,13.0,13500000.0
MacBook Pro 14 inch M2 Pro 2023 (12 CPU - 19 GPU 16GB 1TB 2023),21213181.0,m2,16.0,1024.0,Mac,mac,14.2,0.0
Laptop ASUS Vivobook 15 OLED A1505ZA-L1245W,21213181.0,i5,8.0,512.0,Windows 11,asus,15.6,0.0
MacBook Pro 16 inch M2 Max 2023 (12 CPU - 38 GPU - 32GB - 1TB),21213181.0,m2,32.0,1024.0,Mac,mac,16.0,0.0
Laptop Lenovo Ideapad Slim 5 16IAH8 83BG004EVN,21213181.0,i5,16.0,1024.0,Windows 11,lenovo,16.0,0.0
Laptop MSI Cyborg 15 A12VF-267VN,21213181.0,i7,8.0,512.0,Windows 11,msi,15.6,0.0
Laptop HP Pavilion 15-EG3091TU 8C5L2PA,21213181.0,i7,16.0,512.0,Windows 11,hp,15.6,0.0
Laptop Asus Vivobook Flip 14 TP470EA EC346W,21213181.0,i3,4.0,512.0,Windows 11,asus,14.0,0.0
Macbook Pro 16 M3 Max 36GB - 1TB | Chính hãng Apple Việt Nam,21213181.0,m3,36.0,1024.0,Mac,mac,16.2,0.0
Laptop MSI Modern 14 C12MO-660VN,21213181.0,i5,16.0,512.0,Windows 11,msi,14.0,0.0
Laptop Dell Latitude 7400,21213181.0,i5,8.0,256.0,Windows 11,dell,14.0,0.0
MacBook Pro 14 inch M2 Pro 2023 (10 CPU - 16 GPU - 32GB - 512GB),21213181.0,m2,32.0,512.0,Mac,mac,14.2,0.0
Laptop ASUS Vivobook 14 X1402ZA-EK084W,21213181.0,i5,8.0,256.0,Windows 11,asus,14.0,0.0
Laptop MSI Crosshair 15 B12UEZ-460VN,21213181.0,i7,16.0,1024.0,Windows 11,msi,15.6,0.0
Laptop Gigabyte G5 GD-51VN123SO,21213181.0,i5,16.0,512.0,Windows 11,gigabyte,15.6,0.0
Laptop MSI Modern 14 C7M-083VN,21213181.0,ryzen 5,8.0,512.0,Windows 11,msi,14.0,0.0
Laptop ASUS VivoBook 15X OLED S3504VA-L1226W,21213181.0,i5,16.0,512.0,Windows 11,asus,15.6,0.0
Laptop gaming MSI GF63 Thin 11SC 664VN,21213181.0,i5,8.0,512.0,Windows 11,gaming,15.6,0.0
Laptop Dell XPS 9315,21213181.0,i7,16.0,512.0,Windows 11,dell,13.4,0.0
Laptop HP 14S DQ2644TU,21213181.0,i3,8.0,256.0,Windows 11,hp,14.0,0.0
Laptop ASUS ROG Flow X16 GV601VV-NL016W,21213181.0,i9,16.0,1024.0,Windows 11,asus,16.0,0.0
Laptop Dell Latitude 7480,21213181.0,i5,8.0,256.0,Windows 11,dell,14.1,0.0
Laptop MSI Modern 14 C7M-212VN,21213181.0,ryzen 5,16.0,512.0,Windows 11,msi,14.0,0.0
Laptop Dell Latitude E5430,21213181.0,i5,4.0,120.0,Windows 11,dell,14.0,0.0
Laptop Lenovo Gaming Legion 5 15ARH7 82RE0035VN,21213181.0,ryzen 7,8.0,512.0,Windows 11,lenovo,15.6,0.0
Laptop ASUS Rog Strix Scar 15 G533ZS-LN036W,21213181.0,i9,32.0,1024.0,Windows 11,asus,15.6,0.0
Laptop Lenovo Thinkpad X1 Carbon gen 10,21213181.0,i7,16.0,1024.0,Windows 11,lenovo,14.0,0.0
Laptop Lenovo Thinkpad X1 Carbon gen 5,21213181.0,i5,8.0,256.0,Windows 11,lenovo,14.0,0.0
Laptop Lenovo Thinkpad X1 Carbon gen 6,21213181.0,i7,16.0,256.0,Windows 11,lenovo,14.0,0.0
Laptop Lenovo Thinkpad T480,21213181.0,i7,32.0,1024.0,Windows 11,lenovo,14.0,0.0
Laptop Lenovo Thinkpad T14 gen 2,21213181.0,i7,32.0,1024.0,Windows 11,lenovo,14.0,0.0
Laptop Dell XPS 13 9350,21213181.0,i7,8.0,256.0,Windows 11,dell,13.3,0.0
Laptop Gigabyte G5 MF5-52VN353SH,21213181.0,i5,16.0,512.0,Windows 11,gigabyte,15.6,0.0
Laptop Dell XPS 9320,21213181.0,i7,16.0,512.0,Windows 11,dell,13.4,0.0
Laptop Dell Inspiron 7425,21213181.0,ryzen 5,8.0,512.0,Windows 11,dell,14.0,0.0
Laptop Dell XPS 9510,21213181.0,i7,16.0,1024.0,Windows 11,dell,15.6,0.0
Laptop Giagabyte G5 ME-51VN263SH,21213181.0,i5,8.0,512.0,Windows 11,giagabyte,15.6,0.0
Laptop HP 240 G8 518V8PA,21213181.0,i5,8.0,512.0,Windows 11,hp,14.0,0.0
Laptop Dell Inspiron 5310,21213181.0,i3,8.0,256.0,Windows 11,dell,13.3,0.0
Laptop Asus Zenbook UX425EA BM069T,21213181.0,i5,8.0,512.0,Windows 11,asus,14.0,0.0
Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 1TB) | Chính hãng Apple Việt Nam,21213181.0,m2,16.0,1024.0,Mac,mac,14.0,0.0
Laptop ASUS Gaming ROG Strix G531GT-AL030T,21213181.0,i7,8.0,1024.0,Windows 11,asus,15.6,0.0
Laptop Lenovo Ideapad 3 14ITL6 82H4005QVN,21213181.0,i3,8.0,256.0,Windows 11,lenovo,14.0,0.0
Laptop Lenovo Thinkpad X1 Carbon gen 8,21213181.0,i7,16.0,512.0,Windows 11,lenovo,14.0,0.0
Laptop Gigabyte G5 KE-52VN263SH,21213181.0,i5,8.0,512.0,Windows 11,gigabyte,15.6,0.0
Laptop Gigabyte G5 MD-51S1123SH,21213181.0,i5,16.0,512.0,Windows 11,gigabyte,15.6,0.0
Laptop HP Elitebook 820 G3,21213181.0,i5,8.0,256.0,Windows 11,hp,12.5,0.0
Mac mini M2 Pro 2023 (10 CPU - 16 GPU - 32GB - 1TB) | Chính hãng Apple Việt Nam,21213181.0,m2,32.0,1024.0,Mac,mac,14.0,0.0
Laptop Dell Latitude 3420,21213181.0,i5,8.0,256.0,Windows 11,dell,14.0,0.0
Laptop HP Elitebook 840 G9,21213181.0,i7,16.0,512.0,Windows 11,hp,14.0,0.0
Laptop Acer Aspire 3 A315-58-529V NX.ADDSV.00N,21213181.0,i5,8.0,1024.0,Windows 11,acer,15.6,0.0
Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0004VN,21213181.0,i5,8.0,512.0,Windows 11,lenovo,14.0,0.0
Laptop Dell Latitude E7450,21213181.0,i3,4.0,120.0,Windows 11,dell,14.0,0.0
Laptop Asus VivoBook 14 X1404VA-NK125W,21213181.0,i5,8.0,256.0,Windows 11,asus,14.0,0.0
Laptop HP Elitebook 840 G8,21213181.0,i7,16.0,512.0,Windows 11,hp,14.0,0.0
Laptop Lenovo Ideapad 1 15AMN7 82VG0022VN,21213181.0,ryzen 5,8.0,1024.0,Windows 11,lenovo,15.6,0.0
Laptop Lenovo Ideapad Slim 5 Light 14ABR8 82XS0007VN,21213181.0,ryzen 7,8.0,512.0,Windows 11,lenovo,14.0,0.0
Laptop Dell Latitude E5440,21213181.0,i5,4.0,500.0,Windows 11,dell,14.0,0.0
Laptop HP Probook 450 G9,21213181.0,i5,8.0,512.0,Windows 11,hp,15.6,0.0
Laptop Gaming Acer Nitro 5 AN515-55-5923 NH.Q7NSV.004,21213181.0,i5,8.0,512.0,Windows 11,gaming,15.6,0.0
Laptop Asus Zenbook S 13 Oled UX5304VA-NQ126W,21213181.0,i7,32.0,1024.0,Windows 11,asus,13.3,0.0
Laptop Dell Vostro 5320 V3I7007W,21213181.0,i7,16.0,512.0,Windows 11,dell,13.3,0.0
Laptop Dell Alienware M16,21213181.0,i7,16.0,512.0,Windows 11,dell,16.0,0.0
Laptop HP Gaming Victus 16-E1105AX 7C0T0PA,21213181.0,ryzen 5,16.0,512.0,Windows 11,hp,16.1,0.0
Laptop Lenovo Legion Slim 5 16IRH8 82YA00BTVN,21213181.0,i5,8.0,1024.0,Windows 11,lenovo,16.0,0.0
Laptop HP Gaming Victus 16-E1102AX 7C139PA,21213181.0,ryzen 7,16.0,512.0,Windows 11,hp,16.1,0.0
Laptop HP Envy 16-H0205TX 7C0T2PA,21213181.0,i9,32.0,512.0,Windows 11,hp,16.0,0.0
Laptop Lenovo Yoga Slim 7 Carbon 13IAP7 82U90044VN,21213181.0,i5,16.0,1024.0,Windows 11,lenovo,13.3,0.0
Laptop Dell Latitude 5420,21213181.0,i5,8.0,256.0,Windows 11,dell,14.0,0.0
Laptop HP Gaming Victus 16-D1191TX 7C0S5PA,21213181.0,i5,16.0,512.0,Windows 11,hp,16.1,0.0
Laptop HP Gaming Victus 15-FA0108TX 7C0X0PA,21213181.0,i7,16.0,512.0,Windows 11,hp,15.6,0.0
Laptop HP ENVY X360 13-BF0092TU 76V59PA,21213181.0,i7,8.0,512.0,Windows 11,hp,13.3,0.0
Laptop HP Gaming Victus 15-FA0108TX 7C0X0PA,21213181.0,i7,16.0,512.0,Windows 11,hp,15.6,0.0
Laptop MSI Katana GF66 12UDK-814VN,21213181.0,i7,16.0,512.0,Windows 11,msi,15.6,0.0
Laptop Dell Latitude 5480,21213181.0,i5,8.0,256.0,Windows 11,dell,14.0,0.0
Laptop Dell Latitude E7470,21213181.0,i5,8.0,256.0,Windows 11,dell,14.0,0.0
Laptop Dell Inspiron 14 7420 1YT85,21213181.0,i7,16.0,512.0,Windows 11,dell,14.0,0.0
Laptop Dell Alienware M15 R7,21213181.0,i7,16.0,512.0,Windows 11,dell,15.6,0.0
MacBook Pro 16 inch M3 Pro 2023 (12 CPU - 18 GPU 36GB 512GB),21213181.0,m3,36.0,512.0,Mac,mac,14.2,0.0
Laptop HP Elitebook 8470P,21213181.0,i5,16.0,128.0,Windows 11,hp,14.0,0.0
Laptop Dell Latitude E7240,21213181.0,i7,4.0,128.0,Windows 11,dell,12.5,0.0
Laptop ASUS ExpertBook B1 B1502CVA-NJ0148W,21213181.0,i7,8.0,512.0,Windows 11,asus,15.6,0.0
Laptop Dell XPS 9500,21213181.0,i5,8.0,256.0,Windows 11,dell,15.0,0.0
Laptop Dell Inspiron N7490-N4I5106W,21213181.0,i5,8.0,512.0,Windows 11,dell,14.0,0.0
Laptop Dell Vostro 5468,21213181.0,i5,4.0,1024.0,Windows 11,dell,14.0,0.0
Laptop Dell Latitude 5520,21213181.0,i5,8.0,256.0,Windows 11,dell,15.6,0.0
Laptop Dell Insprion 5620 N6I5003W1,21213181.0,i5,16.0,512.0,Windows 11,dell,16.0,0.0
Laptop Lenovo Thinkbook 14 G2 ARE,21213181.0,ryzen 7,8.0,512.0,Windows 11,lenovo,14.0,0.0
Laptop Lenovo Thinkpad X260,21213181.0,i7,16.0,128.0,Windows 11,lenovo,12.5,0.0
Laptop Dell Insprion 5620 N6I5003W1,21213181.0,i5,16.0,512.0,Windows 11,dell,16.0,0.0
Laptop Dell Latitude 5520,21213181.0,i5,8.0,256.0,Windows 11,dell,15.6,0.0
Laptop Vaio FE 15 VWNC51527-BK,21213181.0,i5,8.0,512.0,Windows 11,vaio,15.6,0.0
Laptop Lenovo Thinkpad P50,21213181.0,i7,64.0,256.0,Windows 11,lenovo,15.6,0.0
Laptop HP 15S FQ1111TU 193R0PA,21213181.0,i3,4.0,256.0,Windows 11,hp,15.6,0.0
Laptop HP Gaming Victus 16-D1187TX 7C0S4PA,21213181.0,i7,8.0,512.0,Windows 11,hp,16.1,0.0
Laptop HP Pavilion 15-EG2087TU 7C0Q9PA,21213181.0,i3,8.0,256.0,Windows 11,hp,15.6,0.0
Laptop HP Elitebook 845 G9,21213181.0,ryzen 5,16.0,256.0,Windows 11,hp,14.0,0.0
Laptop Lenovo Thinkpad P51,21213181.0,i7,64.0,1024.0,Windows 11,lenovo,15.6,0.0
Laptop Dell Insprion 5620 N6I7000W1,21213181.0,i7,16.0,512.0,Windows 11,dell,16.0,0.0
Laptop Dell Latitude E7250,21213181.0,i5,8.0,256.0,Windows 11,dell,12.5,0.0
Laptop HP Gaming Victus 16-E0170AX 4R0U7PA,21213181.0,ryzen 7,8.0,512.0,Windows 11,hp,16.1,0.0
Laptop Dell Latitude E5520,21213181.0,i7,8.0,320.0,Windows 11,dell,14.1,0.0
Laptop Itel Spirit 1 i3,21213181.0,i3,4.0,1024.0,Windows 11,itel,15.6,0.0
Samsung Galaxy Book,21213181.0,i7,8.0,512.0,Mac,mac,15.6,0.0
Laptop HP Pavilion 15-EG1040TU 5Z9V3PA,21213181.0,i5,8.0,256.0,Windows 11,hp,15.6,0.0
Laptop HP Pavilion 15 EG2065TX 7C0Q3PA,21213181.0,i5,8.0,256.0,Windows 11,hp,15.6,0.0
Laptop HP Probook 6570B,21213181.0,i3,4.0,320.0,Windows 11,hp,15.6,0.0
Laptop HP Probook 450 G3,21213181.0,i5,4.0,500.0,Windows 11,hp,15.6,0.0
