Price sale,Price origin,CPU,Ram,Storage,Screen size,Operating system,URL,Title,dec,Brand,Name
71990000.0,71990000.0,i7,8.0,2048.0,17,Windows 11,https://philong.com.vn/laptop-msi-creator-z17-hx-studio-a14vft-272vn.html,Laptop MSI Creator Z17 HX Studio A14VFT-272VN,"Intel Core i7-14700HX, RTX 4070 8GB, RAM 32GB DDR5, SSD 2TB, Màn Hình 17inch IPS QHD+ 165Hz Touch, Windows 11, Màu Lunar Gray)",MSI,Creator Z17 HX Studio A14VFT-272VN
68990000.0,68990000.0,i7,8.0,2048.0,17,Windows 11,https://philong.com.vn/laptop-msi-creator-z17-hx-studio-a14vft-273vn.html,Laptop MSI Creator Z17 HX Studio A14VFT-273VN,"Intel Core i7-14700HX, RTX 4060 8GB, RAM 64GB DDR5, SSD 2TB, Màn Hình 17inch IPS QHD+ 165Hz Touch, Windows 11, Màu Lunar Gray)",MSI,Creator Z17 HX Studio A14VFT-273VN
13390000.0,14990000.0,i5,16.0,512.0,14,Windows 11,https://philong.com.vn/laptop-lenovo-v14-g4-iru-83a0008wvn.html,Laptop Lenovo V14 G4 IRU 83A0008WVN,"Intel Core i5-13420H, RAM 16GB, SSD 512GB, Intel UHD, Màn Hình 14 inch FHD, Free DOS)",Lenovo,V14 G4 IRU 83A0008WVN
49990000.0,49990000.0,Core Ultra 7,16.0,512.0,14,Windows 11,https://philong.com.vn/laptop-asus-zenbook-duo-oled-ux8406ma-pz307w.html,Laptop ASUS ZenBook Duo OLED UX8406MA-PZ307W,"Intel Core Ultra 7 155H, RAM 16GB, SSD 512GB, VGA Intel Arc Graphics, Màn Hình 2x 14inch 3K OLED 120Hz DCI-P3 Touch, Windows 11)",ASUS,ZenBook Duo OLED UX8406MA-PZ307W
59990000.0,59990000.0,Core Ultra 9,32.0,1024.0,14,Windows 11,https://philong.com.vn/laptop-asus-zenbook-duo-oled-ux8406ma-pz142w.html,Laptop ASUS ZenBook Duo OLED UX8406MA-PZ142W,"Intel Core Ultra 9 185H, RAM 32GB, SSD 1TB, VGA Intel Arc Graphics, Màn Hình 2x 14inch 3K OLED 120Hz DCI-P3 Touch, Windows 11)",ASUS,ZenBook Duo OLED UX8406MA-PZ142W
19990000.0,19990000.0,I5,16.0,256,15.6,Windows 11,https://philong.com.vn/laptop-msi-gaming-gf63-thin-12uc-1006vn.html,Laptop MSI Gaming GF63 Thin 12UC-1006VN,"Intel Core I5 12450H, Ram 16GB, 512GB SSD, RTX 3050, Màn Hình 15.6inch FHD, Windows 11)",MSI,Gaming GF63 Thin 12UC-1006VN
28990000.0,33990000.0,i7,16.0,1024.0,16,Windows 11,https://philong.com.vn/laptop-dell-inspiron-5630-i7p165w11sl2050.html,Laptop Dell Inspiron 5630 i7P165W11SL2050,"Intel Core i7-1360P, RAM 16GB, SSD 1TB, RTX 2050 4GB, Màn Hình 16 inch FHD, Windows 11)",Dell,Inspiron 5630 i7P165W11SL2050
30490000.0,37990000.0,i7,16.0,1024.0,15.6,Windows 11,https://philong.com.vn/laptop-msi-katana-15-b13vfk-676vn.html,Laptop MSI Katana 15 B13VFK 676VN,"Intel Core i7-13620H, RAM 16GB, SSD 1TB, RTX 4060 GDDR6 8GB, Màn Hình 15.6 inch FHD, Windows 11 Home)",MSI,Katana 15 B13VFK 676VN
33990000.0,33990000.0,Ultra 7,32.0,256,13.3,Windows 11,https://philong.com.vn/laptop-msi-prestige-13-ai-evo-a1mg-062vn-ultra7.html,Laptop MSI Prestige 13 AI Evo A1MG-062VN,"Ultra 7-155H, 32GB RAM, 1TB SSD, Intel Arc Graphics, Màn Hình 13.3inch 2.8K, Windows 11)",MSI,Prestige 13 AI Evo A1MG-062VN
26990000.0,26990000.0,i7,8.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-msi-katana-15-b13vek-252vn.html,Laptop MSI Katana 15 B13VEK-252VN,"i7-13620H, Ram 8GB, SSD 512GB, màn hình 15.6inch FHD 144Hz, VGA 4050 6GB, Win 11 bản quyền, bảo hành 24 tháng)",MSI,Katana 15 B13VEK-252VN
30990000.0,30990000.0,"Ultra 7 155H, RTX 4050 6GB, Ram 16GB DDR5, SSD 512GB, Màn Hình 15.6 Inch IPS 144Hz FHD, Windows 11 Bản Quyền)",6.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-gaming-msi-cyborg-15-ai-a1ve-053vn-ultra7.html,Laptop Gaming MSI Cyborg 15 AI A1VE-053VN,"Ultra 7 155H, RTX 4050 6GB, Ram 16GB DDR5, SSD 512GB, Màn Hình 15.6 Inch IPS 144Hz FHD, Windows 11 Bản Quyền)",Gaming,MSI Cyborg 15 AI A1VE-053VN
17990000.0,21990000.0,i5,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-msi-cyborg-15-a12ucx-281vn-intel-core-i5-12450h.html,Laptop MSI Cyborg 15 A12UCX-281VN,"Intel Core i5-12450H, Ram 16GB, SSD 512GB, Card đồ họa RTX 2050, màn hình 15.6 inch FHD 144Hz, Windows 11) Hàng chính hãng, bảo hành 24 tháng",MSI,Cyborg 15 A12UCX-281VN
24490000.0,27490000.0,i7,6.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-gaming-msi-cyborg-15-a12ve-240vn.html,Laptop Gaming MSI Cyborg 15 A12VE-240VN,"Core i7-12650H, RTX 4050 6GB, Ram 16GB DDR5, SSD 512GB, 15.6 Inch IPS 144Hz FHD, Windows 11)",Gaming,MSI Cyborg 15 A12VE-240VN
23990000.0,24990000.0,i5,16.0,256,15.6,Windows 11,https://philong.com.vn/laptop-msi-cyborg-15-a12vf-412vn-intel-core-i5-12450h.html,Laptop MSI Cyborg 15 A12VF-412VN,"Intel Core i5-12450H, Ram 16GB, SSD 512G, Đồ họa RTX4050, màn hình 15.6 inch FHD, Win 11 bản quyền,màu Đen, chính hãng, bảo hành 24 tháng)",MSI,Cyborg 15 A12VF-412VN
18990000.0,18990000.0,i7,4.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-msi-gaming-gf63-12uc-887vn.html,Laptop MSI Gaming GF63 12UC 887VN,"Core i7-12650H, RTX 3050 4GB, Ram 16GB, SSD 512GB, Màn Hình 15.6 Inch IPS 144Hz FHD, Windows 11 Home)",MSI,Gaming GF63 12UC 887VN
16990000.0,17990000.0,i5,16.0,512.0,15,Windows 11,https://philong.com.vn/laptop-msi-thin-gf63-12ucx-841vn-chinh-hang.html,Laptop MSI Thin GF63 12UCX-841VN,"CPU i5-12450H, RAM 16GB, SSD 512GB, VGA RTX 2050 4GB, Màn Hình 15.6 FHD IPS 144Hz, Windows 11)",MSI,Thin GF63 12UCX-841VN
